Price,Definition,Address,Area,Bedrooms,Bathrooms
"1,988,536EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",94 M²,2,1
"1,250,000EGP",One Bedroom Apartment For Sale In Masharq Resort Nabq Bay Sharm El Sheikh,"Nbq, Sharm El Sheikh",65 M²,1,1
"1,698,860EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",98 M²,2,1
"1,689,760EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",94 M²,2,1
"1,755,000EGP",بنتهاوس135متر² للبيع فى Green Town -  جرين تاون-6أكتوبر,October Gardens,135 M²,,
"1,300,000EGP",بنتهاوس100متر² للبيع فى Green Town -  جرين تاون-6أكتوبر,October Gardens,100 M²,,
"1,885,000EGP",بنتهاوس145متر² للبيع فى Green Town -  جرين تاون-6أكتوبر,October Gardens,145 M²,,
"1,300,000EGP",شقق100متر² للبيع فى Green Town -  جرين تاون-6أكتوبر,October Gardens,100 M²,,
"1,698,860EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",98 M²,2,1
"1,670,000EGP",Apartments For sale in El Khamseen St,"شارع الخمسين, حي الواحة",167 M²,3,1
"1,650,000EGP",Apartments For sale in El Moshir Tantawy Axis,"محور المشير طنطاوي, مدينة نصر",165 M²,3,2
"1,920,000EGP",Apartments For sale in El Moshir Tantawy Axis,"محور المشير طنطاوي, مدينة نصر",192 M²,3,2
"1,650,000EGP",Apartments For sale in El Khamseen St,"شارع الخمسين, حي الواحة",165 M²,3,2
"2,000,000EGP",Roof For sale in Neighborhood9th,"الحي التاسع, الأحياء اكتوبر",360 M²,3,3
"1,485,000EGP",Apartments For sale in Marsa Matrouh City,"مدينة مرسى مطروح, مرسى مطروح",90 M²,2,1
"1,150,000EGP",Apartments For sale in Masaken El Nqapat,"مساكن النقابات, الحي العاشر",90 M²,2,1
"2,000,000EGP",Apartments For sale in El Lebeny,"اللبيني, فيصل",180 M²,3,2
"1,100,000EGP",Apartments For sale in Marsa Matrouh City,"مدينة مرسى مطروح, مرسى مطروح",68 M²,2,1
"2,000,000EGP",Apartments For sale in The Second Area - Lotus North,"المنطقة الثانية - اللوتس الشمالية, اللوتس الشماليه",158 M²,3,3
"1,200,000EGP",Apartments For sale in El Moshir Tantawy Axis,"محور المشير طنطاوي, مدينة نصر",95 M²,2,1
"1,627,000EGP","With a50% discount, own an apartment lowest price in New Capital","كمبوند ميدتاون سكاي - بتر هوم,  الحي السكني السابع - R7",90 M²,1,1
"1,250,000EGP",Residential unit125m Abd al-Salam Aref main street - Um El-Qura Tower4,"عبد السلام عارف, المنصوره",125 M²,3,1
"1,300,000EGP",Apartments For sale in Touristic Area A,"المنطقة السياحية أ, حدائق أكتوبر",135 M²,3,2
"2,000,000EGP",Apartments For sale in Rai - Sarai Compound,"راي - كمبوند سراي, كمبوند سراي - مدينة مصر للتطوير",113 M²,2,2
"2,000,000EGP",Apartment with Garden For sale in Eco West Compound - New City,"كمبوند ايكو ويست - نيو سيتي, كمبوند في حدائق أكتوبر",80 M²,2,1
"1,300,000EGP",شقة في حدائق اكتوبر جرين تاون,اكتوبر,100 M²,3,1
"1,200,000EGP",شقق للبيع فى باريس,"باريس, الوادي الجديد",120 M²,2,2
"1,260,000EGP","امتلك وحدتك الفندقية بمقدم126,000جنيه في LAVIDA ، المشروع الثاني لاركانيا","لافيدا مول - أركانيا, مدينة المنصورة الجديدة",52 M²,1,1
"1,000,000EGP",Apartments For sale in Eco West Compound - New City,"كمبوند ايكو ويست - نيو سيتي, كمبوند في حدائق أكتوبر",80 M²,2,1
"1,890,000EGP","With a50% down payment, own a135sqm apartment in Mashaya Tower, Mansoura City, and the rest in installments over a year","مشايه تاور - اركانيا, مدينة المنصورة",135 M²,3,1
"1,353,000EGP","Roof for sale,82meters, in a compound in the Central Plateau, Mokattam, near Carrefour Maadi","نكست بوينت - نكست هوم, كمبوند بالهضبة الوسطى",82 M²,2,1
"1,976,000EGP","Ready to move apartment,7% discount, lowest price in Sarayat Katameya","كمبوند سرايات القطامية - كايرو كونسلت, كمبوند بالقطامية",85 M²,2,2
"1,905,000EGP",Apartment with Garden For sale in Green City Compound - Qebaa,"كمبوند جرين سيتي - قباء, كمبوند في حدائق أكتوبر",135 M²,3,2
